Provider,Price per annum,Price per month,Capacity,File types supported,Special features,Platform compatibility,URL,Contact Email,Contact Number
google,,,15 GB,,"- 15 GB storage
",,https://one.google.com/about/plans?g1_landing_page=0,,
google,CA$27.99 / year,CA$2.79 / month,100 GB,,"- 100 GB of storage for Photos, Drive & Gmail
- Share storage with up to 5 others
",,https://one.google.com/about/plans?g1_landing_page=0,,
google,CA$139.99 / year,CA$13.99 / month,2 TB,,"- 2 TB of storage for Photos, Drive & Gmail
- Share storage with up to 5 others
- Unlimited Magic Editor saves in Google Photos
- 10% back in the Google Store
- Google Workspace premium features
",,https://one.google.com/about/plans?g1_landing_page=0,,
google,,CA$26.99 / month,2 TB,,"- 2 TB of storage for Photos, Drive & Gmail
- Share storage with up to 5 others
- Gemini Advanced
- Gemini in Gmail, Docs, and more
- All other benefits in the Premium plan
",,https://one.google.com/about/plans?g1_landing_page=0,,
